"","Location","White","Black","Hispanic","Asian","Total","gun_violence"
"1","Alabama",0.66,"0.27",0.04,0.01,"0.98",1461
"2","Alaska",0.61,"0.03",0.07,0.07,"0.78",317
"3","Arizona",0.55,"0.04",0.31,0.03,"0.93",587
"4","Arkansas",0.73,"0.15",0.08,0.02,"0.98",820
"5","California",0.37,"0.05",0.39,0.14,"0.95",4588
"6","Colorado",0.68,"0.04",0.22,0.03,"0.97",809
"7","Connecticut",0.67,"0.1",0.16,0.05,"0.98",780
"8","Delaware",0.63,"0.21",0.09,0.04,"0.97",389
"9","District of Columbia",0.36,"0.46",0.11,0.04,"0.97",1142
"10","Florida",0.54,"0.15",0.26,0.03,"0.98",4156
"11","Georgia",0.53,"0.31",0.1,0.04,"0.98",1994
"12","Hawaii",0.21,"0.01",0.1,0.38,"0.7",68
"13","Idaho",0.82,"0.01",0.12,0.01,"0.96",163
"14","Illinois",0.61,"0.14",0.17,0.05,"0.97",5089
"15","Indiana",0.79,"0.09",0.07,0.02,"0.97",1483
"16","Iowa",0.86,"0.03",0.06,0.03,"0.98",586
"17","Kansas",0.76,"0.05",0.12,0.03,"0.96",578
"18","Kentucky",0.85,"0.08",0.03,0.01,"0.97",1030
"19","Louisiana",0.59,"0.32",0.05,0.02,"0.98",1987
"20","Maine",0.94,"0.01",0.02,0.01,"0.98",203
"21","Maryland",0.51,"0.29",0.1,0.07,"0.97",1579
"22","Massachusetts",0.72,"0.07",0.12,0.06,"0.97",1761
"23","Michigan",0.75,"0.14",0.05,0.03,"0.97",1360
"24","Minnesota",0.8,"0.06",0.05,0.05,"0.96",759
"25","Mississippi",0.57,"0.38",0.03,0.01,"0.99",1029
"26","Missouri",0.8,"0.11",0.04,0.02,"0.97",1730
"27","Montana",0.87,"<.01",0.04,0.01,"#VALUE!",167
"28","Nebraska",0.79,"0.04",0.11,0.03,"0.97",439
"29","Nevada",0.49,"0.09",0.29,0.08,"0.95",437
"30","New Hampshire",0.91,"0.01",0.04,0.03,"0.99",206
"31","New Jersey",0.55,"0.13",0.21,0.1,"0.99",1342
"32","New Mexico",0.37,"0.02",0.49,0.01,"0.89",448
"33","New York",0.55,"0.14",0.19,0.09,"0.97",2031
"34","North Carolina",0.63,"0.21",0.09,0.03,"0.96",2141
"35","North Dakota",0.85,"0.03",0.03,0.02,"0.93",133
"36","Ohio",0.79,"0.12",0.04,0.02,"0.97",2701
"37","Oklahoma",0.66,"0.07",0.11,0.02,"0.86",866
"38","Oregon",0.76,"0.02",0.13,0.05,"0.96",511
"39","Pennsylvania",0.77,"0.11",0.07,0.03,"0.98",2172
"40","Rhode Island",0.72,"0.05",0.16,0.04,"0.97",191
"41","South Carolina",0.64,"0.27",0.06,0.02,"0.99",1721
"42","South Dakota",0.83,"0.02",0.04,0.01,"0.9",199
"43","Tennessee",0.74,"0.16",0.05,0.02,"0.97",1874
"44","Texas",0.42,"0.12",0.4,0.05,"0.99",2875
"45","Utah",0.79,"0.01",0.14,0.02,"0.96",224
"46","Vermont",0.93,"0.01",0.02,0.02,"0.98",71
"47","Virginia",0.62,"0.19",0.09,0.07,"0.97",1473
"48","Washington",0.69,"0.03",0.13,0.09,"0.94",881
"49","West Virginia",0.93,"0.04",0.01,0.01,"0.99",390
"50","Wisconsin",0.82,"0.06",0.07,0.03,"0.98",1369
"51","Wyoming",0.84,"0.01",0.1,0.01,"0.96",91
