Location,White,Black,Hispanic,Asian,Total
Alabama,0.66,0.27,0.04,0.01,0.98
Alaska,0.61,0.03,0.07,0.07,0.78
Arizona,0.55,0.04,0.31,0.03,0.93
Arkansas,0.73,0.15,0.08,0.02,0.98
California,0.37,0.05,0.39,0.14,0.95
Colorado,0.68,0.04,0.22,0.03,0.97
Connecticut,0.67,0.1,0.16,0.05,0.98
Delaware,0.63,0.21,0.09,0.04,0.97
District of Columbia,0.36,0.46,0.11,0.04,0.97
Florida,0.54,0.15,0.26,0.03,0.98
Georgia,0.53,0.31,0.1,0.04,0.98
Hawaii,0.21,0.01,0.1,0.38,0.7
Idaho,0.82,0.01,0.12,0.01,0.96
Illinois,0.61,0.14,0.17,0.05,0.97
Indiana,0.79,0.09,0.07,0.02,0.97
Iowa,0.86,0.03,0.06,0.03,0.98
Kansas,0.76,0.05,0.12,0.03,0.96
Kentucky,0.85,0.08,0.03,0.01,0.97
Louisiana,0.59,0.32,0.05,0.02,0.98
Maine,0.94,0.01,0.02,0.01,0.98
Maryland,0.51,0.29,0.1,0.07,0.97
Massachusetts,0.72,0.07,0.12,0.06,0.97
Michigan,0.75,0.14,0.05,0.03,0.97
Minnesota,0.8,0.06,0.05,0.05,0.96
Mississippi,0.57,0.38,0.03,0.01,0.99
Missouri,0.8,0.11,0.04,0.02,0.97
Montana,0.87,<.01,0.04,0.01,#VALUE!
Nebraska,0.79,0.04,0.11,0.03,0.97
Nevada,0.49,0.09,0.29,0.08,0.95
New Hampshire,0.91,0.01,0.04,0.03,0.99
New Jersey,0.55,0.13,0.21,0.1,0.99
New Mexico,0.37,0.02,0.49,0.01,0.89
New York,0.55,0.14,0.19,0.09,0.97
North Carolina,0.63,0.21,0.09,0.03,0.96
North Dakota,0.85,0.03,0.03,0.02,0.93
Ohio,0.79,0.12,0.04,0.02,0.97
Oklahoma,0.66,0.07,0.11,0.02,0.86
Oregon,0.76,0.02,0.13,0.05,0.96
Pennsylvania,0.77,0.11,0.07,0.03,0.98
Rhode Island,0.72,0.05,0.16,0.04,0.97
South Carolina,0.64,0.27,0.06,0.02,0.99
South Dakota,0.83,0.02,0.04,0.01,0.9
Tennessee,0.74,0.16,0.05,0.02,0.97
Texas,0.42,0.12,0.4,0.05,0.99
Utah,0.79,0.01,0.14,0.02,0.96
Vermont,0.93,0.01,0.02,0.02,0.98
Virginia,0.62,0.19,0.09,0.07,0.97
Washington,0.69,0.03,0.13,0.09,0.94
West Virginia,0.93,0.04,0.01,0.01,0.99
Wisconsin,0.82,0.06,0.07,0.03,0.98
Wyoming,0.84,0.01,0.1,0.01,0.96
